Ticket,Open Time,Type,Volume,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
40950953,2023.11.17 01:38:07,balance,DEPOSIT,,,,,,,,,,100 000.00
40951351,2023.11.17 03:21:05,sell,0.01,eurusd,1.08566,0,1.08491,2023.11.17 05:23:07,1.08491,-0.06,0,0,0.75
40951870,2023.11.17 05:35:03,sell,0.01,eurusd,1.08479,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,-0.01
40951871,2023.11.17 05:36:01,sell,0.01,eurusd,1.08482,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.02
40951880,2023.11.17 05:37:00,sell,0.01,eurusd,1.08488,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.08
40951882,2023.11.17 05:38:01,sell,0.01,eurusd,1.08492,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.12
40951888,2023.11.17 05:39:01,sell,0.01,eurusd,1.08496,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.16
40951896,2023.11.17 05:40:01,sell,0.01,eurusd,1.08496,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.16
40951899,2023.11.17 05:41:07,sell,0.01,eurusd,1.08502,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.22
40951905,2023.11.17 05:42:14,sell,0.01,eurusd,1.08504,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.24
40951908,2023.11.17 05:44:01,sell,0.01,eurusd,1.08505,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.25
40951915,2023.11.17 05:45:02,sell,0.01,eurusd,1.0851,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.3
40951923,2023.11.17 05:46:10,sell,0.01,eurusd,1.08513,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.33
40951956,2023.11.17 05:56:04,sell,0.01,eurusd,1.08525,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.45
40951960,2023.11.17 05:57:05,sell,0.01,eurusd,1.08542,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.62
40951969,2023.11.17 05:59:01,sell,0.01,eurusd,1.08547,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.67
40951977,2023.11.17 06:02:01,sell,0.01,eurusd,1.08546,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.66
40951986,2023.11.17 06:03:13,sell,0.01,eurusd,1.08551,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.71
40951993,2023.11.17 06:04:03,sell,0.01,eurusd,1.08552,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.72
40952000,2023.11.17 06:05:10,sell,0.01,eurusd,1.08556,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.76
40952002,2023.11.17 06:06:03,sell,0.01,eurusd,1.08558,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.78
40952008,2023.11.17 06:07:01,sell,0.01,eurusd,1.08557,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.77
40952011,2023.11.17 06:08:08,sell,0.01,eurusd,1.08562,0,1.0848,2023.11.17 07:00:14,1.0848,-0.06,0,0,0.82
40952225,2023.11.17 07:03:05,sell,0.01,eurusd,1.08468,0,1.08416,2023.11.17 07:19:06,1.08416,-0.06,0,0,0.52
40952305,2023.11.17 07:22:05,sell,0.01,eurusd,1.08403,0,1.08352,2023.11.17 08:00:14,1.08352,-0.06,0,0,0.51
40952307,2023.11.17 07:23:03,sell,0.01,eurusd,1.08398,0,1.08352,2023.11.17 08:00:14,1.08352,-0.06,0,0,0.46
40952316,2023.11.17 07:26:00,sell,0.01,eurusd,1.08398,0,1.08352,2023.11.17 08:00:14,1.08352,-0.06,0,0,0.46
40952331,2023.11.17 07:29:01,sell,0.01,eurusd,1.08401,0,1.08352,2023.11.17 08:00:14,1.08352,-0.06,0,0,0.49
40952334,2023.11.17 07:30:00,sell,0.01,eurusd,1.08406,0,1.08352,2023.11.17 08:00:14,1.08352,-0.06,0,0,0.54
