,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
15111,41419579,2024-01-23 09:06:01,sell,0.02,eurusd,1.08879,0.0,1.08852,2024-01-23 09:48:00,1.0885,-0.2,0.0,0.0,0.58,158529.77999999953
15114,41419735,2024-01-23 09:11:03,sell,0.02,eurusd,1.08887,0.0,1.08852,2024-01-23 09:48:00,1.0885,-0.2,0.0,0.0,0.74,158480.41999999955
15115,41419773,2024-01-23 09:12:00,sell,0.02,eurusd,1.08878,0.0,1.08852,2024-01-23 09:48:00,1.0885,-0.2,0.0,0.0,0.56,158480.77999999956
15116,41419811,2024-01-23 09:13:00,sell,0.02,eurusd,1.08889,0.0,1.08852,2024-01-23 09:48:00,1.0885,-0.2,0.0,0.0,0.78,158481.35999999955
15117,41419850,2024-01-23 09:14:00,sell,0.02,eurusd,1.08898,0.0,1.08852,2024-01-23 09:48:00,1.0885,-0.2,0.0,0.0,0.96,158482.11999999956
15118,41419897,2024-01-23 09:20:02,sell,0.02,eurusd,1.089,0.0,1.08852,2024-01-23 09:48:00,1.0885,-0.2,0.0,0.0,1.0,158482.91999999955
15119,41419934,2024-01-23 09:21:01,sell,0.02,eurusd,1.08907,0.0,1.08852,2024-01-23 09:48:00,1.0885,-0.2,0.0,0.0,1.14,158483.85999999955
15120,41419974,2024-01-23 09:22:06,sell,0.02,eurusd,1.08929,0.0,1.08852,2024-01-23 09:48:00,1.0885,-0.2,0.0,0.0,1.58,158485.23999999955
15121,41420018,2024-01-23 09:25:00,sell,0.02,eurusd,1.0893,0.0,1.08852,2024-01-23 09:48:00,1.0885,-0.2,0.0,0.0,1.6,158486.63999999955
15122,41420055,2024-01-23 09:26:00,sell,0.02,eurusd,1.08941,0.0,1.08852,2024-01-23 09:48:00,1.0885,-0.2,0.0,0.0,1.82,158488.25999999954
